year,authors,title,first_author,journal,citations,tags
2023,"Kearney, Gargon, Mitchell, Callaghan, Yameen, Williamson, Dodd, ",A systematic review of studies reporting the development of core outcome sets for use in routine care.,Kearney,J Clin Epidemiol,8,CHI | Public Advisor
2024,"Stepanova, Thompson, Yu, Fu, ",Changes in mental health services in response to the COVID-19 pandemic in high-income countries: a rapid review.,Stepanova,BMC Psychiatry,4,HACAL
2020,"Ward, Popay, Porroche-Escudero, Akeju, Ahmed, Cloke, Khan, Hassan, Khedmati-Morasae, ",Mainstreaming public involvement in a complex research collaboration: A theory-informed evaluation.,Ward,Health Expect,14,IPH | MIDAS | Public Advisor
2022,"Ghosh, Hamer, Hill, ",Diagnostic test accuracy of assessment tools for detecting delirium in patients with acute stroke: commentary of a systematic review.,Ghosh,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Hill, Hamer, Breed, Ford, Twamley, Kenyon, Twamley, Casey, Zhang, Clegg, ",The range of uses of virtual reality for intensive care unit staff training: A narrative synthesis scoping review,Hill,Journal of Computer Assisted Learning,1,MIDAS
2020,"Bresnahan, Panebianco, Marson, ",Lamotrigine add-on therapy for drug-resistant generalised tonic-clonic seizures.,Bresnahan,Cochrane Database Syst Rev,6,PCCC
2024,"Simpson, Filipe, Benedetto, Hill, ",The impacts of housing conditions on physical and mental health: a critical mini-review informed by a rapid conversion of evidence from Alidoust and Huang (2021),Simpson,Frontiers in Environmental Health,???,MIDAS | MIDAS RaCES
2017,"Bonnett, Powell, Tudur Smith, Marson, ",Risk of a seizure recurrence after a breakthrough seizure and the implications for driving: further analysis of the standard versus new antiepileptic drugs (SANAD) randomised controlled trial.,Bonnett,BMJ Open,12,CLAHRC
2018,"Corcoran, Mansfield, de Bezenac, Anderson, Overbury, Marshall, ","Perceived neighbourhood affluence, mental health and wellbeing influence judgements of threat and trust on our streets: An urban walking study.",Corcoran,PLoS One,10,CLAHRC
2018,"Hughes, Bonnett, Czanner, Komárek, Marson, García-Fiñana, ",Identification of patients who will not achieve seizure remission within 5 years on AEDs.,Hughes,Neurology,22,CLAHRC
2022,"Ceballos-Rasgado, Lowe, Mallard, Clegg, Moran, Harris, Montez, Xipsiti, ",Adverse Effects of Excessive Zinc Intake in Infants and Children Aged 0-3 Years: A Systematic Review and Meta-Analysis.,Ceballos-Rasgado,Adv Nutr,7,MIDAS
2018,"Burke, Kirkham, Arnott, Gray, Peak, Beresford, ",The transition of adolescents with juvenile idiopathic arthritis or epilepsy from paediatric health-care services to adult health-care services: A scoping review of the literature and a synthesis of the evidence.,Burke,J Child Health Care,24,CLAHRC
2022,"Bell, Hill, ",Prehospital triage tools in major trauma: a critical appraisal of a systematic review.,Bell,J Paramed Pract,???,MIDAS | MIDAS RaCES
2022,"Halliday, Holt, Khan, Ward, Wheeler, Sadler, ",'A lot of small things make a difference'. Mental health and strategies of coping during the COVID-19 pandemic.,Halliday,Health Expect,14,EPHC
2022,"Hill, Twamley, Breed, Kenyon, Casey, Zhang, Clegg, ",Scoping review of the use of virtual reality in intensive care units.,Hill,Nurs Crit Care,13,MIDAS | MIDAS RaCES
2020,"Doherty, Jones, Chauhan, Gibson, ","Eating well, living well and weight management: A co-produced semi-qualitative study of barriers and facilitators experienced by adults with intellectual disabilities.",Doherty,J Intellect Disabil,18,CLAHRC
2017,"Eleuteri, Fisher, Broadbent, García-Fiñana, Cheyne, Wang, Stratton, Gabbay, Seddon, Harding, ",Individualised variable-interval risk-based screening for sight-threatening diabetic retinopathy: the Liverpool Risk Calculation Engine.,Eleuteri,Diabetologia,31,CLAHRC
2024,"Readman, Polden, Brighton, Oluseye, Fairman, Parkinson, Parkinson, Giebel, ",Prescription charge policy acceptance among UK adults with and without long-term health conditions: a mixed-method survey.,Readman,BMJ Open,0,HACAL
2023,"Fahy, Alexiou, Mason, Bennett, Egan, Taylor-Robinson, Barr, ","Inequalities in local government spending on cultural, environmental and planning services: a time-trend analysis in England, Scotland, and Wales.",Fahy,BMC Public Health,4,IPH
2020,"Doherty, Boland, Reed, Clegg, Stephani, Williams, Shaw, Hedgecoe, Hill, Walker, ",Barriers and facilitators to deprescribing in primary care: a systematic review.,Doherty,BJGP Open,117,MIDAS | Public Advisor
2022,"Khan, Ward, Halliday, Holt, ",Public perspectives of social prescribing.,Khan,J Public Health (Oxf),3,EPHC
2023,"Levison, Harrison, Hill, ",Is a lower socio-economic position associated with poorer outcomes for end-of-life care?,Levison,Int J Palliat Nurs,0,MIDAS | MIDAS RaCES
2022,"Taylor, Tudur-Smith, Dixon, Linehan, Gunko, Christensen, Pearson, Tomson, Marson, ",Care in Europe after presenting to the emergency department with a seizure; position paper and insights from the European Audit of Seizure Management in Hospitals.,Taylor,Eur J Neurol,10,CHI | PCCC
2020,"Hill, Sange, Clegg, ",Alpha<sub>2</sub> agonist dexmedetomidine may reduce duration of delirium in critically ill adults.,Hill,Evid Based Nurs,0,MIDAS | MIDAS RaCES
2023,"Bell, Pennington, Hill, ",Video vs direct laryngoscopy for adults undergoing endotracheal intubation,Bell,Journal of Paramedic Practice,???,MIDAS | MIDAS RaCES
2018,"Rafiey, Rarani, Alipour, Rouhi, Morasae, ",Assessment of women's empowerment: An exploratory study to develop a valid and reliable Persian-version tool.,Rafiey,Health Care Women Int,2,CLAHRC
2017,"Lightbody, Clegg, Patel, Lucas, Storey, Hackett, Watkins, ",Systematic Review and Meta-Analysis of Psychosocial Risk Factors for Stroke.,Lightbody,Semin Neurol,21,CLAHRC
2018,"Elahi, McIntyre, Hampson, Bodycote, Sitko, White, Bentall, ","Home Is Where You Hang Your Hat: Host Town Identity, But Not Hometown Identity, Protects Against Mental Health Symptoms Associated with Financial Stress",Elahi,Journal of Social and Clinical Psychology,21,CLAHRC
2023,"Hives, Georgiou, Spencer, Benedetto, Clegg, Rutter, Watkins, Williams, Bray, ",Risk reduction intervention for raised blood pressure (REVERSE): protocol for a mixed-methods feasibility study.,Hives,BMJ Open,0,IMPACT | MIDAS
2021,"Leone, Giussani, Nevitt, Marson, Beghi, ","Immediate antiepileptic drug treatment, versus placebo, deferred, or no treatment for first unprovoked seizure.",Leone,Cochrane Database Syst Rev,12,PCCC
2022,"Harrison, Lip, Akbari, Torabi, Ritchie, Akpan, Halcox, Rodgers, Hollinghurst, Harris, Lane, ",Stroke in Older Adults Living in Care Homes: Results From a National Data Linkage Study in Wales.,Harrison,J Am Med Dir Assoc,1,CHI
2017,"Collins, Cuddy, Martin, ",Assessing the effectiveness and cost-effectiveness of drug intervention programs: UK case study.,Collins,J Addict Dis,8,CLAHRC
2023,"Jones, Hill, Coupland, Kendrick, Akbari, Rodgers, Watson, Tyrrell, Merrill, Martin, Orton, ",Cost-effectiveness of England's national 'Safe At Home' scheme for reducing hospital admissions for unintentional injury in children aged under 5.,Jones,Inj Prev,1,CHI
2018,"Chiumento, Mukherjee, Chandna, Dutton, Rahman, Bristow, ",A haven of green space: learning from a pilot pre-post evaluation of a school-based social and therapeutic horticulture intervention with children.,Chiumento,BMC Public Health,27,CLAHRC
2021,"Hill, Hare, ",Statins used for secondary prevention in patients with stroke reduce the risk of further ischaemic strokes and cardiovascular events.,Hill,Evid Based Nurs,0,MIDAS | MIDAS RaCES
2020,"Giebel, ","""Current dementia care: what are the difficulties and how can we advance care globally?"".",Giebel,BMC Health Serv Res,16,HACAL
2019,"Higgerson, Halliday, Ortiz-Nunez, Barr, ",The impact of free access to swimming pools on children's participation in swimming. A comparative regression discontinuity study.,Higgerson,J Public Health (Oxf),5,CLAHRC
2020,"Mbizvo, Chandrasekar, Nevitt, Dixon, Hutton, Marson, ",Levetiracetam add-on for drug-resistant focal epilepsy.,Mbizvo,Cochrane Database Syst Rev,21,CHI | PCCC
2020,"Gabbay, Shiels, Hillage, ","The issue of ""long-term"" fit notes for depression in the UK: patient, GP and general practice variation.",Gabbay,J Ment Health,1,CLAHRC
2023,"Stubbs, Shorten, Benedetto, Muir, ",Does comorbidity index predict OPAT readmission?,Stubbs,JAC Antimicrob Resist,0,MIDAS
2023,"Noble, Lees, Hughes, Almond, Ibrahim, Broadbent, Dixon, Marson, ",Raring to go? A cross-sectional survey of student paramedics on how well they perceive their UK pre-registration course to be preparing them to manage suspected seizures.,Noble,BMC Emerg Med,2,CHI | PCCC
2022,"Hill, Edney, Hamer, Williams, Harris, ",Interventions for the treatment and prevention of pressure ulcers.,Hill,Br J Community Nurs,6,MIDAS | MIDAS RaCES
2020,"Saini, Rose, Downing, Matata, Pilsworth, Pemberton, Comerford, Wilson, Shaw, Harper, Daras, Barr, ","Impact of community-based chronic obstructive pulmonary disease service, a multidisciplinary intervention in an area of high deprivation: a longitudinal matched controlled study.",Saini,BMJ Open,3,HACAL | PCCC | Public Advisor
2020,"Omani-Samani, Alizadeh, Almasi-Hashiani, Mohammadi, Maroufizadeh, Navid, Khedmati Morasae, Amini, ",Risk of preeclampsia following assisted reproductive technology: systematic review and meta-analysis of 72 cohort studies.,Omani-Samani,J Matern Fetal Neonatal Med,16,CLAHRC
2022,"Gilbert, Harris, Miles, Weir-McCall, Qureshi, Rintoul, Dizdarevic, Pike, Sinclair, Shah, Eaton, Clegg, Benedetto, Hill, Cook, Tzelis, Vale, Brindle, Madden, Cozens, Little, Eichhorst, Moate, McClement, Peebles, Banerjee, Han, Poon, Groves, Kurban, Frew, Callister, Crosbie, Gleeson, Karunasaagarar, Kankam, George, ",Dynamic contrast-enhanced CT compared with positron emission tomography CT to characterise solitary pulmonary nodules: the SPUtNIk diagnostic accuracy study and economic modelling.,Gilbert,Health Technol Assess,2,MIDAS
2022,"Ward, Lowther-Payne, Halliday, Dooley, Joseph, Livesey, Moran, Kirby, Cloke, ",Engaging communities in addressing air quality: a scoping review.,Ward,Environ Health,13,EPHC | IMPACT | Public Advisor
2023,"Cloke, Hassan, Goodall, Ring, Saini, Tahir, Gabbay, ",Tapping into the power of coproduction and knowledge mobilisation: Exploration of a facilitated interactive group learning approach to support equity-sensitive decision-making in local health and care services.,Cloke,Health Expect,1,HACAL | Public Advisor
2017,"Bonnett, Powell, Tudur Smith, Marson, ",Breakthrough seizures-Further analysis of the Standard versus New Antiepileptic Drugs (SANAD) study.,Bonnett,PLoS One,14,CLAHRC
2022,"Hill, Rahman-Amin, Harrison, ",Understanding the key components of effective dementia education and training.,Hill,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Gomez, McBride, Roberts, Angus, Keyes, Drummond, Buchan, Fleming, Gilmore, Donoghue, Bonnet, Goodwin, ",The clustering of physical health conditions and associations with co-occurring mental health problems and problematic alcohol use: a cross-sectional study.,Gomez,BMC Psychiatry,4,MIDAS
2022,"Potter, Dollard, Pignata, Zadow, Lushington, ",Review of practice &amp; policy strategies for managing digital communication and ICT use in Australian universities,Potter,Computers in Human Behavior Reports,5,CLAHRC
2024,"Hill, Whitaker, Sharafi, Hamer, Chohan, Harris, Clegg, ",The effectiveness and safety of heat/cold therapy in adults with lymphoedema: systematic review.,Hill,Disabil Rehabil,1,MIDAS
2024,"Giebel, ",A new model to understand the complexity of inequalities in dementia.,Giebel,Int J Equity Health,2,HACAL
2017,"Corcoran, Mansfield, Giokas, Hawkins, Bamford, Marshall, ",Places Change Minds: Exploring the Psychology of Urbanicity Using a Brief Contemplation Method,Corcoran,Sage Open,14,CLAHRC
2020,"Bresnahan, Gianatsi, Maguire, Tudur Smith, Marson, ",Vigabatrin add-on therapy for drug-resistant focal epilepsy.,Bresnahan,Cochrane Database Syst Rev,13,PCCC
2021,"Cockshott, Kiemle, Byrne, Gabbay, ",A Fall from Grace: An Interpretative Phenomenological Analysis of Unemployment in UK University Graduates with Common Mental Health Issues,Cockshott,Open Journal of Social Sciences,???,HACAL
2023,"Walshe, Mateus, Varey, Dodd, Cockshott, Filipe, Brearley, ","'Thank goodness you're here'. Exploring the impact on patients, family carers and staff of enhanced 7-day specialist palliative care services: A mixed methods study.",Walshe,Palliat Med,1,EPHC | MIDAS
2021,"Gooch, Hill, Clegg, ",Strength training for people with multiple sclerosis and the current recommendations.,Gooch,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Lamph, Nowland, Boland, Pearson, Connell, Jones, Wildbore, L Christian, Harris, Ramsden, Gardner, Graham-Kevan, McKeown, ","Relational practice in health, education, criminal justice, and social care: a scoping review.",Lamph,Syst Rev,5,MIDAS
2021,"Giebel, Sutcliffe, Darlington-Pollock, Green, Akpan, Dickinson, Watson, Gabbay, ",Health Inequities in the Care Pathways for People Living with Young- and Late-Onset Dementia: From Pre-COVID-19 to Early Pandemic.,Giebel,Int J Environ Res Public Health,22,HACAL | Public Advisor
2021,"Giebel, Hanna, Rajagopal, Komuravelli, Cannon, Shenton, Eley, Gaughan, Callaghan, Tetlow, Limbert, Whittington, Rogers, Ward, Shaw, Butchard, Gabbay, ","The potential dangers of not understanding COVID-19 public health restrictions in dementia: ""It's a groundhog day - every single day she does not understand why she can't go out for a walk"".",Giebel,BMC Public Health,11,HACAL | Public Advisor
2022,"Tripathi, Venkata, Hill, Harrison, ",Non-pharmacological interventions for managing pain in community-dwelling older adults.,Tripathi,Br J Community Nurs,3,MIDAS | MIDAS RaCES
2024,"Filipe, Piroddi, Baker, Rafferty, Buchan, Barr, ",Improving equitable healthcare resource use: developing a neighbourhood district nurse needs index for staffing allocation,Filipe,BMC Health Services Research,0,MIDAS
2016,"Grainger, Pearson, Dixon, Devonport, Timoney, Bodger, Kirkham, Marson, ",Referral patterns after a seizure admission in an English region: an opportunity for effective intervention? An observational study of routine hospital data.,Grainger,BMJ Open,18,CLAHRC
2023,"Garrett, Rowney, White, Lovell, Fry, Akbari, Geary, Lyons, Mizen, Nieuwenhuijsen, Parker, Song, Stratton, Thompson, Watkins, White, Williams, Rodgers, Wheeler, ",Visiting nature is associated with lower socioeconomic inequalities in well-being in Wales.,Garrett,Sci Rep,7,CHI
2019,"Almasi-Hashiani, Omani-Samani, Mohammadi, Amini, Navid, Alizadeh, Khedmati Morasae, Maroufizadeh, ",Assisted reproductive technology and the risk of preeclampsia: an updated systematic review and meta-analysis.,Almasi-Hashiani,BMC Pregnancy Childbirth,51,CLAHRC
2022,"Ujhelyi Gomez, Corcoran, Ring, Hassan, Abba, Downing, Goodall, Gabbay, Clarke, Moran, Obe, Bennett, ",Characteristics of mental health stability during COVID-19: An online survey with people residing in a city region of the North West of England.,Ujhelyi Gomez,PLoS One,4,MIDAS | PCCC | Public Advisor
2018,"Higgerson, Halliday, Ortiz-Nunez, Brown, Barr, ",Impact of free access to leisure facilities and community outreach on inequalities in physical activity: a quasi-experimental study.,Higgerson,J Epidemiol Community Health,36,CLAHRC
2023,"Chalmers, Hill, Connell, Ackerley, Kulkarni, Roddam, ",Allied health professional research engagement and impact on healthcare performance: A systematic review protocol.,Chalmers,Int J Lang Commun Disord,2,MIDAS
2023,"Harrison, Phoong, Mansoor, Hill, ",Effectiveness of mobility training for frail older adults living in the community.,Harrison,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2021,"Poole, Harrison, Hill, ","Understanding dementia in South Asian populations, an exploration of knowledge and awareness.",Poole,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Doherty, Benedetto, Harris, Ridley, O'Donoghue, James-Jenkinson, Fidler, Clegg, ",Preventing falls at home among people with intellectual disabilities: A scoping review.,Doherty,J Appl Res Intellect Disabil,2,MIDAS
2021,"Schofield, Walsh, Bendel, Piroddi, ",Excess mortality in Glasgow: further evidence of 'political effects' on population health.,Schofield,Public Health,7,IPH
2020,"Palmer, Hill, Clegg, ",Multifaceted falls prevention can help to reduce fall rates in high-risk and healthy community-dwelling older adults.,Palmer,Evid Based Nurs,1,MIDAS | MIDAS RaCES
2020,"Bonnett, Hutton, Marson, ",Modelling seizure rates rather than time to an event within clinical trials of antiepileptic drugs.,Bonnett,BMC Med Res Methodol,2,PCCC
2024,"Twamley, Hamer, Hill, Kenyon, Twamley, Casey, Zhang, Williams, Clegg, ",Exploring the perceptions of former ICU patients and clinical staff on barriers and facilitators to the implementation of virtual reality exposure therapy: A qualitative study.,Twamley,Nurs Crit Care,9,MIDAS
2023,"Hamer, Counsell, King, Hill, ",Wound cleansing and care in treating leg ulcers: a commentary on a Cochrane systematic review.,Hamer,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2023,"Lowther-Payne, Ushakova, Beckwith, Liberty, Edge, Lobban, ",Understanding inequalities in access to adult mental health services in the UK: a systematic mapping review.,Lowther-Payne,BMC Health Serv Res,2,IMPACT
2020,"Hill, Doherty, Firestone, ","Oral health should be considered when working with adults with intellectual disabilities, and larger, higher-quality studies in this area are needed.",Hill,Evid Based Nurs,0,MIDAS | MIDAS RaCES
2024,"Heaton, Halliday, Wheeler, Ring, Kaloudis, Popay, ",Strengthening community empowerment initiatives as a route to greater equity: an English case study,Heaton,Community Development Journal,???,EPHC
2023,"Collins, Downing, Head, Cornerford, Nathan, Barr, ",Investigating the impact of undiagnosed anxiety and depression on health and social care costs and quality of life: cross-sectional study using household health survey data.,Collins,BJPsych Open,2,IPH | PCCC | Public Advisor
2016,"Nolan, Marson, Weston, Tudur Smith, ",Phenytoin versus valproate monotherapy for partial onset seizures and generalised onset tonic-clonic seizures: an individual participant data review.,Nolan,Cochrane Database Syst Rev,11,CLAHRC
2024,"Wrench, Subar, Bampouras, Lauder, Gaffney, ",Myths and methodologies: Assessing glycaemic control and associated regulatory mechanisms in human physiology research.,Wrench,Exp Physiol,0,PCCC
2023,"Ghosh, Hamer, Hill, ",The Rehabilitation of Cognitive Impairment Following Stroke: A Commentary on a Systematic Review.,Ghosh,Br J Neurosci Nurs,???,IMPACT | MIDAS | MIDAS RaCES
2024,"Hill, Harris, Clegg, ",Methods for using Bing's AI-powered search engine for data extraction for a systematic review.,Hill,Res Synth Methods,6,MIDAS
2023,"Benedetto, Filipe, Harris, Spencer, Hickson, Clegg, ",Analytical Frameworks and Outcome Measures in Economic Evaluations of Digital Health Interventions: A Methodological Systematic Review.,Benedetto,Med Decis Making,11,MIDAS | Public Advisor
2022,"Hamer, Phoong, Harrison, Hill, ",Cardiovascular involvement in patients with COVID-19: a systematic review of prevalence studies.,Hamer,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2023,"Harris, Entwistle, Batty, Wood, Hill, ",Repositioning for pressure injury prevention in adults: a commentary on a Cochrane review.,Harris,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2023,"Hassan, Melville-Richards, Ring, Cloke, Smith, Saini, Goodall, Porroche-Escudero, Popay, Gabbay, ",Minding the gap: The importance of active facilitation in moving boundary objects from in-theory to in-use as a tool for knowledge mobilisation,Hassan,SSM - Qualitative Research in Health,1,HACAL | MIDAS | Public Advisor
2019,"Holmes, Plumpton, Baker, Jacoby, Ring, Williamson, Marson, Hughes, ",Patient-Focused Drug Development Methods for Benefit-Risk Assessments: A Case Study Using a Discrete Choice Experiment for Antiepileptic Drugs.,Holmes,Clin Pharmacol Ther,23,CLAHRC
2017,"Gabbay, Ring, Byng, Anderson, Taylor, Matthews, Harris, Berry, Byrne, Carter, Clarke, Cocking, Edwards, Emsley, Fornasiero, Frith, Harris, Huxley, Jones, Kinderman, King, Kosnes, Marshall, Mercer, May, Nolan, Phillips, Rawcliffe, Sardani, Shaw, Thompson, Vickery, Wainman, Warner, ",Debt Counselling for Depression in Primary Care: an adaptive randomised controlled pilot trial (DeCoDer study).,Gabbay,Health Technol Assess,16,CLAHRC
2021,"Hill, Harrison, Palmer, ",Risk Factors for Relapsing Remitting Multiple Sclerosis.,Hill,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Miller, Gibson, Jones, Timoroska, Maley, Romagnoli, Chesworth, Watkins, ","How is hydration assessed and managed in acute stroke? A qualitative study of healthcare staff's knowledge, attitudes and experiences.",Miller,J Clin Nurs,3,IMPACT
2020,"Devi, Martin, Banerjee, Butler, Pattison, Cruickshank, Maries-Tillott, Wilson, Damery, Meyer, Poot, Chamberlain, Harvey, Giebel, Hinsliff-Smith, Chadborn, Lee Gordon, ",Improving the Quality of Care in Care Homes Using the Quality Improvement Collaborative Approach: Lessons Learnt from Six Projects Conducted in the UK and The Netherlands.,Devi,Int J Environ Res Public Health,20,HACAL
2021,"Saini, Hunt, Taylor, Mills, Clements, Mulholland, Kullu, Hann, Duarte, Mattocks, Guthrie, Gabbay, ",Community Outpatient Psychotherapy Engagement Service for Self-harm (COPESS): a feasibility trial protocol.,Saini,Pilot Feasibility Stud,4,HACAL
2018,"Martin, Downing, Cochrane, Collins, Francis, Haycox, Alfirevic, Pirmohamed, ",Trastuzumab uptake in HER2-positive breast cancer patients: a systematic review and meta-analysis of observational studies.,Martin,Crit Rev Oncol Hematol,8,CLAHRC
2018,"Ogunrin, Woolfall, Gabbay, Frith, ",Correction: Relative solidarity: Conceptualising communal participation in genomic research among potential research participants in a developing Sub-Saharan African setting.,Ogunrin,PLoS One,3,CLAHRC
2023,"Phoong, Hardacre, Hill, ",Advancing pressure ulcer prevention: evaluating the impact of patient and lay carer education.,Phoong,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2019,"Harrison, ",Student nurses' gender role is a predictor of caring behaviours and critical thinking.,Harrison,Evid Based Nurs,7,CLAHRC
2022,"Mansoor, Hamer, Walker, Hill, ",Antibiotics for the Secondary Prevention of Coronary Heart Disease.,Mansoor,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2020,"Hollinghurst, Fry, Akbari, Watkins, Williams, Hillcoat-Nallétamby, Lyons, Clegg, Rodgers, ",Do home modifications reduce care home admissions for older people? A matched control evaluation of the Care & Repair Cymru service in Wales.,Hollinghurst,Age Ageing,7,CHI | MIDAS
2021,"Taggart, Doherty, Chauhan, Hassiotis, ","An exploration of lifestyle/obesity programmes for adults with intellectual disabilities through a realist lens: Impact of a 'context, mechanism and outcome' evaluation.",Taggart,J Appl Res Intellect Disabil,6,MIDAS
2019,"Taylor-Robinson, Lai, Wickham, Rose, Norman, Bambra, Whitehead, Barr, ","Assessing the impact of rising child poverty on the unprecedented rise in infant mortality in England, 2000-2017: time trend analysis.",Taylor-Robinson,BMJ Open,75,CLAHRC
2024,"Jones, Bracewell, Clegg, Stanley, Chantler, ",Domestic Homicide Review Committees’ Recommendations and Impacts: A Systematic Review,Jones,Homicide Studies,8,MIDAS
2019,"Currie, Guzman Castillo, Adekanmbi, Barr, O'Flaherty, ","Evaluating effects of recent changes in NHS resource allocation policy on inequalities in amenable mortality in England, 2007-2014: time-series analysis.",Currie,J Epidemiol Community Health,14,CLAHRC
2021,"Mason, Maudsley, McHale, Pennington, Day, Barr, ",Age-Adjusted Associations Between Comorbidity and Outcomes of COVID-19: A Review of the Evidence From the Early Stages of the Pandemic.,Mason,Front Public Health,24,IPH
2023,"Zhang, Tulloch, Knott, Allison, Parvulescu, Buchan, Garcia-Finana, Piroddi, Green, Baird, Barr, ","Evaluating the impact of using mobile vaccination units to increase COVID-19 vaccination uptake in Cheshire and Merseyside, UK: a synthetic control analysis.",Zhang,BMJ Open,7,IPH
2021,"Setiabudi, Hungerford, Subramaniam, Vaselli, Shaw, Wilton, Vivancos, Aston, Platt, Moitt, Jones, Gabbay, Buchan, Carrol, Iturriza-Gomara, Solomon, Greenhalf, Naisbitt, Adams, Cunliffe, Turtle, French, ","Prospective observational study of SARS-CoV-2 infection, transmission and immunity in a cohort of households in Liverpool City Region, UK (COVID-LIV): a study protocol.",Setiabudi,BMJ Open,1,HACAL
2022,"Harrison, Hill, Palmer, ",Disease modifying therapies for multiple sclerosis: benefit and acceptability.,Harrison,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2019,"Bresnahan, Martin-McGill, Williamson, Michael, Marson, ",Clobazam add-on therapy for drug-resistant epilepsy.,Bresnahan,Cochrane Database Syst Rev,14,PCCC
2024,"Cameron, Harrison, Tripathi, Hill, ",Pain and diet: A summary of the evidence for the role of diet modification in chronic pain.,Cameron,Br J Pain,0,MIDAS | MIDAS RaCES
2022,"Hill, Coupland, Kendrick, Jones, Akbari, Rodgers, Watson, Tyrrell, Merrill, Orton, ",Impact of the national home safety equipment scheme 'Safe At Home' on hospital admissions for unintentional injury in children under 5: a controlled interrupted time series analysis.,Hill,J Epidemiol Community Health,10,CHI
2023,"Mansoor, Hamer, Sandrasekar, Argent, Hill, ",Walking as an intervention to reduce blood pressure in adults with hypertension: recommendations and implications for clinical practise.,Mansoor,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2017,"Worsley, Wheatcroft, Short, Corcoran, ",Victims’ Voices: Understanding the Emotional Impact of Cyberstalking and Individuals’ Coping Responses,Worsley,Sage Open,62,CLAHRC
2021,"McIntyre, Elahi, Latham, Mullholland, Haines-Delmont, Saini, Taylor, ",Does neighbourhood identification buffer against the effects of socioeconomic disadvantage on self-harm?,McIntyre,J Affect Disord,6,HACAL
2019,"Roddam, Cross, Georgiou, Gibson, Jones, Olive, Smith, Thomas, ","Developing clinical academic researchers: insights from practitioners and managers in nursing, midwifery and allied health",Roddam,British Journal of Healthcare Management,6,PCCC
2022,"Hill, Harris, Danielle L, Boland, Doherty, Benedetto, Gita, Clegg, ",The prevalence of mental health conditions in healthcare workers during and after a pandemic: Systematic review and meta-analysis.,Hill,J Adv Nurs,63,MIDAS
2017,"Blackburn, Hayward, Cornes, McKee, Lewer, Whiteford, Menezes, Luchenski, Story, Denaxas, Tinelli, Wurie, Byng, Clark, Fuller, Gabbay, Hewett, Kilmister, Manthorpe, Neale, Aldridge, ",Outcomes of specialist discharge coordination and intermediate care schemes for patients who are homeless: analysis protocol for a population-based historical cohort.,Blackburn,BMJ Open,12,CLAHRC
2021,"Watson, Darlington-Pollock, Green, Giebel, Akpan, ","The Impact of Demographic, Socio-Economic and Geographic Factors on Mortality Risk among People Living with Dementia in England (2002-2016).",Watson,Int J Environ Res Public Health,3,HACAL
2021,"Kotting, Smith, O'Hare, Giebel, Mendis, Shaw, Shillito, Rossor, ",A national open-access research registry to improve recruitment to clinical studies.,Kotting,Alzheimers Dement (N Y),3,HACAL
2023,"Giebel, Hanna, Watson, Faulkner, O'Connell, Smith, Donnellan, ",A systematic review on inequalities in accessing and using community-based social care in dementia.,Giebel,Int Psychogeriatr,7,HACAL | IPH | Public Advisor
2023,"Giebel, Heath, ",A 3-UK-nation survey on dementia and the cost of living crisis: contributions of gender and ethnicity on struggling to pay for social care.,Giebel,Aging Ment Health,3,HACAL
2023,"Hamer, Bray, Harris, Blundell, Kuroski, Schneider, Watkins, Clegg, ",Psychological interventions for weight reduction and sustained weight reduction in adults with overweight and obesity: a scoping review protocol.,Hamer,BMJ Open,0,MIDAS
2016,"McIntyre, Elahi, Bentall, ",Social identity and psychosis: Explaining elevated rates of psychosis in migrant populations,McIntyre,Social and Personality Psychology Compass,25,CLAHRC
2021,"Giebel, Robertson, Beaulen, Zwakhalen, Allen, Verbeek, ","""Nobody Seems to Know Where to Even Turn To"": Barriers in Accessing and Utilising Dementia Care Services in England and The Netherlands.",Giebel,Int J Environ Res Public Health,28,HACAL | Public Advisor
2018,"Saini, Chantler, Kapur, ",GPs' views and perspectives on patient non-adherence to treatment in primary care prior to suicide.,Saini,J Ment Health,8,CLAHRC
2022,"Giebel, Hanna, Cannon, Shenton, Mason, Tetlow, Marlow, Rajagopal, Gabbay, ",Taking the 'care' out of care homes: The moral dilemma of institutional long-term care provision during COVID-19.,Giebel,Health Soc Care Community,16,HACAL | Public Advisor
2023,"Popay, Chekar, Griffiths, Halliday, Kaloudis, Leiper, Panagaki, Porroche-Escudero, ",Strengthening the equity focus of applied public health research: introducing the FOR EQUITY platform.,Popay,Public Health,3,EPHC | MIDAS | Public Advisor
